Grupo,Especie,Mapa,EOO_mpc,AOO_mpc,veg_nat_km2,veg_nat_prop,perda_acum_km2,perda_acum_prop,regener_km2,regener_prop,perda_rec_km2,perda_rec_prop,saldo_km2,saldo_prop
serpentes,Leptophis marginatus,ADEQ,1281841.8,469180,217633.4,40.7,317603.9,59.3,12009.7,5.5,17390.9,8,-5381.2,-2.5
serpentes,Leptophis liocercus,ADEQ,825842.9,263740,98468.7,32.6,203276.8,67.4,15061.3,15.9,12127.4,12.8,2933.9,3.1
serpentes,Leptophis nigromarginatus,ADEQ,2600380.9,1840128,1690614.8,94.9,91526.3,5.1,11166.9,0.7,36568.3,2.1,-25401.4,-1.5
serpentes,Bothrops oligobalius,ADEQ,1014431.5,532840,503293.3,98.6,7073.6,1.4,659,0.1,1602.1,0.3,-943,-0.2
serpentes,Leptodeira tarairiu,ADEQ,1432825.4,673908,428873.7,60.8,276409.8,39.2,28183.8,6.4,40275.3,9.2,-12091.4,-2.8
serpentes,Chironius gouveai,ADEQ,218048.8,142080,45219.6,27.4,119547.1,72.6,4433,9.3,7167.9,15.1,-2734.9,-5.8
serpentes,Helicops boitata,ADEQ,4022.3,2296,492.8,12.3,3529.8,87.7,82.4,4.5,1472.4,80.9,-1389.9,-76.4
serpentes,Leptophis dibernardoi,ADEQ,565613.8,257384,175750.1,67.7,84019.7,32.3,11113.2,6.2,16007.9,8.9,-4894.8,-2.7
serpentes,Leptodeira pulchriceps,ADEQ,192461.5,163440,108444.7,64.8,58842.2,35.2,4195.2,3.9,7347.1,6.9,-3152,-3
serpentes,Helicops phantasma,ADEQ,87403.4,6736,1778,4.2,40266.3,95.8,76.3,4.2,171.3,9.3,-95,-5.2
serpentes,Eutrachelophis papilio,ADEQ,168740,92440,78779.2,93.4,5522.4,6.6,307.9,0.4,1559.9,2,-1252,-1.6
serpentes,Chlorosoma dunupyana,ADEQ,2928.4,420,137.7,35.1,254.8,64.9,22.1,15.9,21.1,15.1,1,0.7
serpentes,Leptodeira ashmeadii,ADEQ,56504.9,13408,9618.5,75.1,3182,24.9,386.5,3.6,1557.6,14.6,-1171.1,-11
serpentes,Erythrolamprus aenigma,ADEQ,54984,26260,16762,39.1,26054.8,60.9,663.1,3.9,1299.5,7.6,-636.4,-3.7
serpentes,Helicops acangussu,MPC,36.6,76,20.8,56.8,15.9,43.5,7.2,45.2,0,0,7.2,52.8
serpentes,Caaeteboia gaeli,MPC,3791.1,2708,568.3,15,3214.6,84.8,138.2,4.7,249.4,36.8,-111.2,-16.4
serpentes,Atractus akerios,MPC,29673.3,29568,16531.6,55.7,13117.9,44.2,2548.7,23.6,2310.9,14.2,237.8,1.5
serpentes,Atractus nawa,Buffer 10 km,-,716,407.3,64.8,216.2,34.4,12.3,9,79.1,16.7,-66.8,-14.1
serpentes,Dipsas bothropoides,Buffer 10 km,-,576,308.7,58.4,219.6,41.6,20,10.1,21.8,7,-1.8,-0.6
serpentes,Bothrops jabrensis,Buffer 10 km,-,368,270.9,86.2,41.3,13.2,4.6,14.5,9.5,3.4,-4.9,-1.8
